Date,Chain,Category,Buyer,Total Units,Sale Price,Cost Price,Suburb,State,Postcode,Manager
01/01/2016,Ready Wear,Home,Richard Carr,175,2.78,6.35,Wagga Wagga,NSW,2650,John Gardner
01/01/2016,Ready Wear,Groceries,Chris Monroe,908,0.61,0.93,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Ready Wear,Home,Richard Carr,1,500,750,Stafford,QLD,4053,Terri Wright
01/01/2016,Ready Wear,Groceries,Chris Monroe,714,1.14,1.46,Epping,VIC,3076,Brian Hubbard
01/01/2016,Ready Wear,Groceries,Chris Monroe,65,0.48,3.9,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Home,Richard Carr,87,3.66,6.19,Collingwood,VIC,3066,Brian Hubbard
01/01/2016,Ready Wear,Home,Richard Carr,92,5.21,7.34,Chatswood,NSW,2067,Jeremy Garcia
01/01/2016,Ready Wear,Home,Richard Carr,21,4.49,13.55,Orange,NSW,2800,John Gardner
01/01/2016,Ready Wear,Home,Richard Carr,127,4.19,5.59,Campbelltown,NSW,2560,George Chester
01/01/2016,Ready Wear,Home,Richard Carr,77,4.73,6.99,Epping,VIC,3076,Brian Hubbard
01/01/2016,Ready Wear,Womens,Amy Buchanan,2,10,18.53,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Groceries,Chris Monroe,898,1.2,1.39,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Home,Richard Carr,170,4.15,5.13,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Womens,Amy Buchanan,50,1.9,1.92,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,166,2.51,3.43,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Home,Richard Carr,213,2.37,3.07,Armidale,NSW,2350,Claire Bridges
01/01/2016,Ready Wear,Home,Richard Carr,116,4.62,5.8,Ballarat,VIC,3353,Jerry Fulton
01/01/2016,Ready Wear,Groceries,Chris Monroe,233,0.94,1.52,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Ready Wear,Groceries,Chris Monroe,283,1.17,1.64,Altona,VIC,3018,Brian Hubbard
01/01/2016,Ready Wear,Womens,Amy Buchanan,3,7,6.75,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Home,Richard Carr,81,6.67,8.17,Mascot,NSW,2020,Jeremy Garcia
01/01/2016,Ready Wear,Womens,Amy Buchanan,2,10,7.51,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,65,2.19,3.92,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Ready Wear,Home,Richard Carr,934,1.87,1.99,Collingwood,VIC,3066,Brian Hubbard
01/01/2016,Ready Wear,Home,Richard Carr,69,2.12,3.67,Chadstone,VIC,3148,Rachael Long
01/01/2016,Ready Wear,Accessories,Maggie Mayer,40,11.32,13.78,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Ready Wear,Home,Richard Carr,143,4.81,5.45,Albany,WA,6330,Miles Hammond
01/01/2016,Ready Wear,Juniors,Chester George,18,5.56,10.51,Lismore,NSW,2480,Claire Bridges
01/01/2016,Ready Wear,Womens,Amy Buchanan,15,3.93,3.43,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,19,8.1,12.63,Ballarat,VIC,3353,Jerry Fulton
01/01/2016,Ready Wear,Home,Richard Carr,83,7.5,8.47,Epsom,VIC,3551,Jerry Fulton
01/01/2016,Ready Wear,Womens,Amy Buchanan,99,4.36,3.21,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Accessories,Maggie Mayer,57,6.34,7.64,Caloundra,QLD,4551,Shellie Thomas
01/01/2016,Ready Wear,Home,Richard Carr,102,8.64,9.35,Dubbo,NSW,2830,John Gardner
